ticker,company,sector,industry,source_bucket,thesis_tag,style_tag,short_reason,possible_disqualifier,mkt_cap_tier,geography,already_analyzed,priority,triage_rec,confidence,as_of_date
V,Visa Inc.,Financials,Payment Networks,seed|52wk_low,monopoly_power,recovery,Duopoly payment rail near 52-week low; fee model unmatched,Regulatory pressure on interchange fees; BNPL disruption,mega,US,False,high,yes,high,2026-03-11
BRK-B,Berkshire Hathaway B,Financials,Diversified Conglomerate,seed|52wk_low,quality_compounder,recovery,Fortress balance sheet near 52-week low; Buffett-built flywheel,Succession risk; insurance cycle exposure,mega,US,False,high,yes,high,2026-03-11
HD,Home Depot Inc.,Consumer,Home Improvement Retail,52wk_low,quality_compounder,recovery,Pro segment resilient; housing cycle recovery play near low,Housing slowdown prolonged; SRS acquisition integration risk,mega,US,False,high,yes,high,2026-03-11
CRM,Salesforce Inc.,Technology,CRM / Enterprise Cloud Software,52wk_low|fcf_roic,dominant_ecosystem,recovery,CRM market leader; margin inflection and strong FCF near low,Slowing enterprise spend; Agentforce adoption unproven at scale,mega,US,False,high,yes,high,2026-03-11
NOW,ServiceNow Inc.,Technology,IT Service Management / Enterprise Cloud,52wk_low,dominant_ecosystem,recovery,Workflow automation leader; AI agents expanding TAM near low,Premium valuation even at low; enterprise budget scrutiny,mega,US,False,high,yes,high,2026-03-11
BSX,Boston Scientific Corp.,Healthcare,Medical Devices,healthcare_quality|52wk_low,secular_growth,recovery,Electrophysiology and structural heart growing fast; near low,Competitive intensity from Medtronic and Abbott,mega,US,False,high,yes,high,2026-03-11
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment,semis_and_infra|fcf_roic|sector_leader,secular_growth,compounder,Broadest semi equipment portfolio; AI capex cycle sustaining demand,Semi equipment cycle downturn; China export restrictions,mega,US,False,high,yes,high,2026-03-11
NOVN.SW,Novartis AG,Healthcare,Pharmaceuticals,large_cap_europe_quality|fcf_roic,high_fcf_yield,value,Post-Sandoz spinoff; high FCF yield with refocused innovative pipeline,Patent cliffs on key drugs; pipeline execution risk,mega,Europe,False,high,yes,high,2026-03-11
APP,AppLovin Corp.,Technology,Mobile Advertising / AI,52wk_high|post_earnings,post_earnings_dislocation,compounder,AI-driven ad targeting showing exceptional ROAS; strong earnings beat,Advertising cyclicality; regulatory scrutiny of data practices,large,US,False,high,yes,medium,2026-03-11
COHR,Coherent Corp.,Technology,Optical Components / Transceivers,52wk_high,secular_growth,compounder,AI datacenter optical interconnect demand surging; near 52-week high,High debt from II-VI merger; component commoditization risk,large,US,False,high,yes,medium,2026-03-11
