ticker,company,sector,industry,source_bucket,thesis_tag,style_tag,short_reason,possible_disqualifier,mkt_cap_tier,already_analyzed,priority,triage_rec,confidence,as_of_date
AAPL,Apple Inc.,Technology,Consumer Electronics,tracked|sector_leader,dominant_ecosystem,compounder,"Services mix shift expands margins; installed base moat","China revenue concentration; iPhone saturation",mega,true,high,maybe,high,2026-03-11
NVDA,NVIDIA Corp.,Technology,Semiconductors / AI,tracked|sector_leader,secular_growth,compounder,"AI GPU monopoly; data center demand still accelerating","Valuation extreme; China export restrictions",mega,true,high,maybe,high,2026-03-11
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment,tracked|sector_leader,monopoly_power,compounder,"Sole EUV supplier; irreplaceable in chip supply chain","China export ban risk; cyclical capex slowdown",mega,true,high,maybe,high,2026-03-11
TSM,Taiwan Semiconductor Mfg.,Technology,Contract Semiconductor Mfg.,tracked|sector_leader,secular_growth,compounder,"World's dominant foundry; AI chip demand drives capacity","Taiwan geopolitical risk; customer concentration",mega,true,high,maybe,high,2026-03-11
AVGO,Broadcom Inc.,Technology,Semiconductors / Infrastructure Software,tracked|sector_leader,secular_growth,compounder,"Custom AI ASICs + VMware integration expanding TAM","Heavy debt post-VMware; integration execution risk",mega,true,high,maybe,high,2026-03-11
NOW,ServiceNow Inc.,Technology,Enterprise Workflow Software,tracked|52wk_low,secular_growth,compounder,"AI-native enterprise platform near multi-month low","Premium valuation even at lows; macro IT spend risk",mega,true,high,yes,high,2026-03-11
CRM,Salesforce Inc.,Technology,CRM / Enterprise Cloud,tracked|52wk_low,quality_compounder,compounder,"Agentforce AI pivot; trading near 52-week low at $194","Slowing ARR growth; competition from Microsoft Copilot",large,true,high,yes,high,2026-03-11
MSFT,Microsoft Corp.,Technology,Enterprise Software / Cloud,seed|sector_leader,dominant_ecosystem,compounder,"Azure + Copilot AI monetization at scale; durable moat","Antitrust scrutiny; OpenAI dependency and cost",mega,false,high,yes,high,2026-03-11
GOOG,Alphabet Inc.,Technology,Internet / Search / Cloud,seed|sector_leader,dominant_ecosystem,compounder,"Search monopoly + GCP + Gemini AI; FCF machine",AI search disruption to core ad revenue model,mega,false,high,yes,high,2026-03-11
META,Meta Platforms Inc.,Technology,Social Media / Digital Ads,seed|sector_leader,dominant_ecosystem,compounder,"3B+ user ad network; Llama AI cuts costs and moats","Regulatory breakup risk; Reality Labs cash burn",mega,false,high,yes,high,2026-03-11
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,post_earnings,secular_growth,compounder,"Q4 beat; MI300 AI GPU revenue surging 34% YoY","NVIDIA entrenched in AI; datacenter share still thin",large,false,high,yes,medium,2026-03-11
NOVO-B.CO,Novo Nordisk A/S,Healthcare,Pharmaceuticals / GLP-1,tracked,secular_growth,compounder,"GLP-1 weight-loss drug dominance; massive demand runway","Ozempic pricing pressure; Eli Lilly competition",mega,true,high,maybe,high,2026-03-11
ARM,Arm Holdings plc,Technology,Semiconductor IP,tracked,secular_growth,compounder,"CPU IP royalties growing with AI edge compute buildout","Lofty valuation; customer RISC-V defection risk",mega,true,high,maybe,high,2026-03-11
SNOW,Snowflake Inc.,Technology,Cloud Data Platform,tracked,secular_growth,compounder,"AI Data Cloud gaining traction; new CEO driving focus","Not yet profitable; intense competition from Databricks",large,true,high,maybe,medium,2026-03-11
ALAB,Astera Labs Inc.,Technology,Semiconductor Connectivity,tracked,secular_growth,speculative,"PCIe/CXL connectivity chips critical for AI server racks","Small cap pre-scale; customer concentration in hyperscalers",mid,true,high,maybe,medium,2026-03-11
V,Visa Inc.,Financials,Payment Networks,seed|52wk_low,dominant_ecosystem,compounder,"Global payment network near 52-week low; toll-road model",Crypto/stablecoin payments disintermediation risk,mega,false,high,yes,high,2026-03-11
BRK-B,Berkshire Hathaway B,Financials,Diversified Conglomerate,seed|52wk_low,quality_compounder,value,"Buffett's own vehicle at 52-week low; massive cash reserve","Succession uncertainty; no single business to underwrite",mega,false,high,yes,high,2026-03-11
NVS,Novartis AG,Healthcare,Pharmaceuticals,fcf_roic,high_fcf_yield,value,"Mega-cap pharma with top FCF yield; Kisqali/Entresto growth","Patent cliffs; generic competition on key drugs",mega,false,high,yes,medium,2026-03-11
BKNG,Booking Holdings Inc.,Consumer,Online Travel,fcf_roic,high_fcf_yield,value,"8% unlevered FCF yield; dominant OTA with pricing power","Travel demand cyclicality; Google Hotels competition",large,false,high,yes,medium,2026-03-11
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment,fcf_roic|sector_leader,high_fcf_yield,compounder,"Semicon equipment leader with solid FCF; AI capex beneficiary",China export restrictions shrink addressable market,mega,false,high,yes,medium,2026-03-11
CMCSA,Comcast Corp.,Communication Services,Cable / Broadband,fcf_roic,high_fcf_yield,value,"9% unlevered FCF yield; broadband infrastructure monopoly","Cord-cutting accelerates; streaming losses at Peacock",large,false,high,yes,medium,2026-03-11
HD,Home Depot Inc.,Consumer,Home Improvement Retail,52wk_low|sector_leader,quality_compounder,recovery,"Pro contractor channel + SRS acquisition near 52-week low",Housing market freeze dampens DIY and remodel spend,mega,false,high,yes,medium,2026-03-11
BSX,Boston Scientific Corp.,Healthcare,Medical Devices,52wk_low,secular_growth,recovery,"MedTech compounder near 52-week low; cardiac/endo growth","Premium MedTech multiple even at lows; procedure volume risk",large,false,high,yes,medium,2026-03-11
VZ,Verizon Communications Inc.,Communication Services,Wireless Telecom,fcf_roic,high_fcf_yield,income,"High FCF yield; 5G infrastructure asset-heavy but stable","Massive debt load; subscriber growth near ceiling",mega,false,high,yes,low,2026-03-11
GILD,Gilead Sciences Inc.,Healthcare,Biopharmaceuticals,fcf_roic,high_fcf_yield,value,"6%+ FCF yield; HIV franchise durable; oncology optionality","HIV growth ceiling; oncology pipeline binary risk",large,false,high,yes,medium,2026-03-11
T,AT&T Inc.,Communication Services,Wireless Telecom,fcf_roic,high_fcf_yield,income,"High FCF yield post-DirecTV exit; fiber rollout catalyst","Extreme debt burden; subscriber growth limited",mega,false,high,yes,low,2026-03-11
ADBE,Adobe Inc.,Technology,Creative / Document Software,tracked,quality_compounder,compounder,"Creative AI tools defend moat; Firefly monetization ahead",AI image generators commoditize core creative software,large,true,high,maybe,high,2026-03-11
QCOM,Qualcomm Inc.,Technology,Semiconductors / Mobile,tracked,secular_growth,compounder,"On-device AI in Snapdragon; auto and IoT diversification","Apple designing out Qualcomm modem; ARM licensing threat",large,true,high,maybe,medium,2026-03-11
DSV.CO,DSV A/S,Industrials,Freight / Logistics,tracked,quality_compounder,compounder,"Serial M&A compounder in global logistics; DB Schenker deal","Integration risk post-Schenker; freight rate cyclicality",large,true,high,maybe,high,2026-03-11
MA,Mastercard Inc.,Financials,Payment Networks,seed,dominant_ecosystem,compounder,"Duopoly payment rail; high-margin asset-light compounder","Regulatory fee caps; fintech bypass risk",mega,false,medium,maybe,high,2026-03-11
UNH,UnitedHealth Group Inc.,Healthcare,Managed Care,sector_leader,sector_leader,compounder,"Largest US health insurer + Optum; durable earnings machine","CMS reimbursement cuts; medical cost ratio pressure",mega,false,medium,maybe,high,2026-03-11
JNJ,Johnson & Johnson,Healthcare,Diversified Pharmaceuticals / MedTech,sector_leader,sector_leader,compounder,"MedTech + pharma dual engine; 60+ years dividend growth","Talc litigation overhang; pipeline lacks blockbusters",mega,false,medium,maybe,high,2026-03-11
GE,GE Aerospace,Industrials,Aerospace / Jet Engines,sector_leader,sector_leader,compounder,"Pure-play aerospace; aftermarket services drive recurring revenue",Boeing production issues reduce engine demand,mega,false,medium,maybe,high,2026-03-11
RTX,RTX Corp. (Raytheon),Industrials,Defense / Aerospace,sector_leader,sector_leader,compounder,"Defense + Pratt engines; NATO rearmament tailwind","GTF engine recall costs; defense budget uncertainty",mega,false,medium,maybe,high,2026-03-11
WMT,Walmart Inc.,Consumer,Mass Retail / eCommerce,sector_leader,sector_leader,compounder,"Retail dominance + advertising + fintech expanding margins","Premium valuation for a retailer; tariff cost pass-through",mega,false,medium,maybe,high,2026-03-11
COST,Costco Wholesale Corp.,Consumer,Membership Retail,sector_leader,quality_compounder,compounder,"Membership loyalty flywheel; near-zero inventory risk model","Expensive on any earnings multiple; low FCF yield",mega,false,medium,maybe,high,2026-03-11
CSU.TO,Constellation Software,Technology,Vertical Market Software,seed,quality_compounder,compounder,"VMS acqui-machine; capital allocation excellence no debt needed","Pricey; TAM of niche VMS shrinking per-spinoff",large,false,medium,maybe,high,2026-03-11
DHR,Danaher Corp.,Industrials,Life Sciences Tools,seed,quality_compounder,compounder,DBS operating system drives serial acquisition returns,Biotech funding slowdown dampens instrument demand,mega,false,medium,maybe,high,2026-03-11
MCO,Moody's Corp.,Financials,Credit Ratings / Analytics,seed,dominant_ecosystem,compounder,"Regulated ratings duopoly + analytics growth; high margins",Debt issuance slowdown cuts ratings revenue cyclically,large,false,medium,maybe,high,2026-03-11
SPGI,S&P Global Inc.,Financials,Credit Ratings / Data,seed,dominant_ecosystem,compounder,"Ratings + market data + Platts; recurring data flywheel","Debt issuance cyclicality; Platts integration still ongoing",mega,false,medium,maybe,high,2026-03-11
FICO,Fair Isaac Corp.,Technology,Analytics / Credit Scoring,seed,monopoly_power,compounder,FICO score is legally mandated in US mortgage underwriting,"CFPB push for alternative scores; price regulation risk",large,false,medium,maybe,high,2026-03-11
ROP,Roper Technologies,Industrials,Diversified Industrial Software,seed,quality_compounder,compounder,"Asset-light niche software acquirer; FCF conversion excellent","Holding company discount; dependent on M&A pipeline quality",large,false,medium,maybe,high,2026-03-11
IDXX,IDEXX Laboratories,Healthcare,Veterinary Diagnostics,seed,dominant_ecosystem,compounder,"Installed base razor/blade in vet diagnostics; pricing power","Pet spending discretionary; vet visit frequency falling",large,false,medium,maybe,high,2026-03-11
TDG,TransDigm Group,Industrials,Aerospace Components,seed,monopoly_power,compounder,"Sole-source aerospace aftermarket; pricing power unmatched","DOD audit/pricing scrutiny; highly leveraged balance sheet",large,false,medium,maybe,high,2026-03-11
